timestamp_ms,ear,pitch,yaw,roll,label
1776974064592,0.30210,-14.88237,-28.79167,13.96859,Distracted
1776974064747,0.29303,-14.75921,-29.49626,13.88761,Distracted
1776974064877,0.29443,-15.61274,-29.79144,13.58525,Distracted
1776974065012,0.30625,-16.25532,-29.30379,13.65270,Distracted
1776974065138,0.30973,-16.61845,-30.54793,12.79258,Distracted
1776974065263,0.31107,-16.68664,-31.54322,12.90837,Distracted
1776974065403,0.31861,-16.15221,-32.21744,12.05856,Distracted
1776974065562,0.31946,-16.02786,-33.14968,12.52348,Distracted
1776974065824,0.33765,-13.61514,-37.41329,12.15060,Distracted
1776974065961,0.35987,-12.82389,-41.21413,10.59928,Distracted
1776974066102,0.35995,-11.76629,-43.55564,10.72629,Distracted
1776974066242,0.30599,-9.45988,-44.37064,12.39720,Distracted
1776974066383,0.29256,-5.79157,-45.14881,15.82270,Distracted
1776974066526,0.35475,-1.83194,-45.06069,18.33730,Distracted
1776974066663,0.37580,-4.05989,-45.46839,17.98460,Distracted
1776974066804,0.23633,-11.25937,-32.57062,12.62105,Distracted
1776974066928,0.20959,-8.95343,-43.30896,16.41363,Distracted
1776974067244,0.10597,-22.56142,-26.40051,6.72021,Distracted
1776974067455,0.10496,-24.57541,-19.48184,4.67446,Distracted
1776974067596,0.16928,-26.44321,-18.02291,3.84257,Distracted
1776974067719,0.17227,-31.17784,-13.03594,2.75640,Distracted
1776974067843,0.13626,-22.92494,-37.30249,5.59411,Distracted
1776974067983,0.15221,-31.73271,-9.98102,0.77109,Distracted
1776974068141,0.14951,-24.23038,-38.01446,2.49117,Distracted
1776974068279,0.17858,-23.99951,-38.31663,2.15065,Distracted
1776974068420,0.17786,-22.93778,-39.80100,2.44556,Distracted
1776974068566,0.16897,-22.43779,-39.71377,2.70663,Distracted
1776974068842,0.13764,-21.42589,-41.45874,2.32587,Distracted
1776974068979,0.20746,-21.01206,-44.92010,3.33148,Distracted
1776974069118,0.12436,-21.58944,-45.60271,3.75225,Distracted
1776974069243,0.14016,-28.62452,-19.58407,-0.15326,Distracted
1776974069383,0.12801,-28.39660,-20.08401,0.92637,Distracted
1776974069508,0.13179,-28.27808,-19.81247,1.39694,Distracted
1776974069655,0.15478,-27.73502,-19.96185,1.39504,Distracted
1776974069820,0.11440,-20.58289,-42.63091,6.18140,Distracted
1776974069963,0.16111,-19.19842,-44.08190,6.75982,Distracted
1776974070102,0.18325,-19.02737,-45.29570,7.00535,Distracted
1776974070245,0.22673,-17.48472,-45.21480,8.45869,Distracted
1776974070522,0.27022,-17.57464,-44.12263,9.34970,Distracted
1776974070662,0.29809,-17.27343,-47.02033,9.73739,Distracted
1776974070801,0.36952,-14.59278,-49.83807,11.63933,Distracted
1776974070941,0.35711,-15.14211,-48.70857,12.46263,Distracted
1776974071082,0.40534,-11.59304,-49.24571,14.06434,Distracted
1776974071208,0.38246,-12.34350,-47.99286,14.48411,Distracted
1776974071347,0.35940,-12.32161,-47.41435,15.06480,Distracted
1776974071472,0.35544,-21.90798,-26.30029,8.75354,Distracted
1776974071613,0.34730,-22.01435,-26.41875,9.27518,Distracted
1776974071760,0.35745,-22.56526,-25.53054,9.17332,Distracted
1776974072026,0.20508,-22.00642,-24.08016,10.01093,Distracted
1776974072159,0.17810,-22.43229,-23.66314,10.10827,Distracted
1776974072286,0.19626,-22.58555,-23.81830,10.01168,Distracted
1776974072412,0.19889,-22.75011,-23.74794,9.84973,Distracted
1776974072552,0.26844,-22.64218,-24.36416,9.85357,Distracted
1776974072709,0.31740,-22.11084,-24.95608,10.02245,Distracted
1776974072864,0.34733,-22.92165,-25.03100,9.47278,Distracted
1776974073003,0.34403,-12.44400,-46.35050,16.97362,Distracted
1776974073126,0.34433,-23.25111,-24.91600,9.57019,Distracted
1776974073284,0.34833,-22.85575,-25.69174,9.64390,Distracted
1776974073551,0.30224,-11.23399,-47.01240,17.46693,Distracted
1776974073676,0.30397,-11.23894,-47.03533,17.48690,Distracted
1776974073816,0.33819,-9.94056,-47.68680,18.53483,Distracted
1776974073955,0.39398,-6.61183,-50.11838,19.76654,Distracted
1776974074079,0.33258,-2.98548,-51.06153,22.60857,Distracted
1776974074314,0.44329,4.92971,-55.96722,28.41422,Distracted
1776974074954,0.38074,1.10234,-52.48364,50.62370,Distracted
1776974075202,0.72192,16.26322,0.29615,44.69920,Distracted
1776974075345,0.51921,-24.29639,-59.75219,22.79643,Distracted
1776974075492,0.48349,-2.24157,-53.64692,46.48415,Distracted
1776974075763,0.41425,-3.24635,-52.48331,41.08083,Distracted
1776974075903,0.47256,-18.82696,-24.78996,26.57674,Distracted
1776974076042,0.32482,-29.45557,-43.89035,10.93811,Distracted
1776974076181,0.29741,-31.53540,-38.28603,7.63941,Distracted
1776974076337,0.35008,-32.60500,-44.33016,5.00362,Distracted
1776974076726,0.21656,9.69236,-49.92544,37.83131,Distracted
1776974077619,0.63764,2.22276,-49.16528,39.93925,Distracted
1776974078121,0.59204,12.71015,-50.67649,51.56351,Distracted
1776974078261,0.25625,5.23775,-37.44937,45.12438,Distracted
1776974078403,0.32964,-21.33640,-54.55851,24.81192,Distracted
1776974078680,0.31283,-26.30022,-51.45171,20.33680,Distracted
1776974078816,0.30319,-33.23996,-54.52249,15.48342,Distracted
1776974079064,0.49617,16.77370,-48.94446,50.85222,Distracted
1776974079204,0.42252,-34.24259,-59.86586,14.63629,Distracted
1776974079952,0.58315,-42.82705,-71.45679,14.78234,Distracted
1776974080095,0.46869,-4.46569,-47.26157,34.66569,Distracted
1776974080841,0.56049,3.18659,-51.93069,47.55209,Distracted
1776974080968,0.59331,-32.31041,-64.81821,16.90007,Distracted
1776974081094,0.50620,-36.25569,-66.07265,13.36017,Distracted
1776974081250,0.48410,-38.65866,-61.88012,11.72483,Distracted
1776974081780,1.29035,1.46424,-60.12852,53.69827,Distracted
1776974081923,0.40011,-25.63852,-63.53275,20.44222,Distracted
1776974082312,0.39548,-37.90300,-59.86188,14.75147,Distracted
1776974082575,0.52878,9.43174,-49.67836,55.90884,Distracted
1776974082717,0.48745,68.07827,-50.58877,-78.72420,Distracted
1776974082858,0.40914,-27.71499,-65.84481,25.09197,Distracted
1776974082983,0.55772,-25.30673,-62.13594,23.27725,Distracted
1776974083844,0.88800,41.38450,72.16992,9.01365,Distracted
1776974084891,0.58515,9.81509,-52.25482,54.47748,Distracted
1776974085016,0.39224,10.91913,-43.68318,52.67616,Distracted
1776974085159,0.42793,-20.55537,-60.48031,32.85047,Distracted
1776974085297,0.27449,-13.25077,-50.48736,34.25912,Distracted
1776974085419,0.29245,-0.68487,-33.31856,43.60353,Distracted
1776974085543,0.32924,2.57103,-34.92728,40.93173,Distracted
1776974085668,0.32430,-28.66928,-51.15783,16.69831,Distracted
1776974086043,0.59568,-30.01215,-66.27510,16.13981,Distracted
1776974086183,0.13748,-17.99246,-46.87849,30.38260,Distracted
1776974086340,0.20416,-6.53474,-7.59922,36.94498,Distracted
1776974086494,0.24423,-4.65627,-17.26824,34.60433,Distracted
1776974086637,0.23535,-8.02253,-8.04753,30.86662,Distracted
1776974086905,0.13465,-6.58530,4.55373,22.25336,Distracted
1776974087039,0.13983,-8.96541,4.40765,13.35134,Distracted
1776974087179,0.19091,-6.82139,3.69461,10.29759,Distracted
1776974087306,0.23104,-2.27463,10.37695,11.46321,Distracted
1776974087446,0.19521,7.63114,34.29480,7.50098,Distracted
1776974087586,0.27625,11.26654,39.10841,7.02766,Distracted
1776974087708,0.28447,9.02471,40.62140,8.13422,Distracted
1776974087833,0.32714,7.34298,39.37810,8.53707,Distracted
1776974087979,0.45573,8.25569,38.86064,8.25625,Distracted
1776974088274,0.37300,8.53664,28.66328,8.83450,Distracted
1776974088410,0.32997,6.78005,27.12149,11.87505,Distracted
1776974088551,0.18373,2.99726,23.94432,13.69358,Distracted
1776974088675,0.09825,-4.78175,10.83281,13.71343,Distracted
1776974088802,0.21548,-5.66700,3.87620,11.36493,Distracted
1776974088944,0.28179,-6.69975,-0.83977,9.68279,Distracted
1776974089070,0.34737,-6.91921,-2.45349,6.72168,Distracted
1776974089194,0.34255,-8.82834,-4.02573,4.81484,Distracted
1776974089325,0.32101,-8.07616,-5.35152,3.23423,Distracted
1776974089693,0.32335,-5.26140,-8.54765,-2.24260,Distracted
1776974089882,0.30519,1.91357,-13.89931,-1.55209,Distracted
1776974090021,0.33807,0.86904,-13.12290,-1.06183,Distracted
1776974090161,0.33237,0.28266,-16.19689,-0.85717,Distracted
1776974090300,0.30873,0.56031,-21.48112,-0.55438,Distracted
1776974090438,0.31293,0.97830,-22.27994,-0.47038,Distracted
